,rank,title,author,publisher,date,amazon links
3388,9,SCHOOL'S FIRST DAY OF SCHOOL,by Adam Rex. Illustrated by Christian Robinson,Roaring Brook,"September 4, 2016",http://www.amazon.com/Schools-First-Day-School-Adam/dp/1596439645?tag=NYTBSREV-20
3389,10,THE DAY THE CRAYONS CAME HOME,by Drew Daywalt. Illustrated by Oliver Jeffers,Philomel,"September 4, 2016",http://www.amazon.com/The-Day-Crayons-Came-Home/dp/0399172750?tag=NYTBSREV-20
3390,1,WHAT DO YOU DO WITH A PROBLEM?,by Kobi Yamada. Illustrated by Mae Besom,Compendium,"August 28, 2016",http://www.amazon.com/What-Do-You-Problem/dp/1943200009?tag=NYTBSREV-20
3391,2,DRAGONS LOVE TACOS,by Adam Rubin. Illustrated by Daniel Salmieri,Dial,"August 28, 2016",http://www.amazon.com/Dragons-Love-Tacos-Adam-Rubin/dp/0803736800?tag=NYTBSREV-20
3392,3,THE WONDERFUL THINGS YOU WILL BE,by Emily Winfield Martin,Random House,"August 28, 2016",http://www.amazon.com/The-Wonderful-Things-You-Will/dp/0385376715?tag=NYTBSREV-20
3393,4,THE DAY THE CRAYONS QUIT,by Drew Daywalt. Illustrated by Oliver Jeffers,Philomel,"August 28, 2016",http://www.amazon.com/The-Crayons-Quit-Drew-Daywalt/dp/0399255370?tag=NYTBSREV-20
3394,5,THE THANK YOU BOOK,by Mo Willems,Hyperion,"August 28, 2016",http://www.amazon.com/The-Thank-Book-Elephant-Piggie/dp/1423178289?tag=NYTBSREV-20
3395,6,THE BOOK WITH NO PICTURES,by B.J. Novak,Dial,"August 28, 2016",http://www.amazon.com/The-Book-Pictures-B-J-Novak/dp/0803741715?tag=NYTBSREV-20
3396,7,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE",by Sherri Duskey Rinker and Tom Lichtenheld,Chronicle,"August 28, 2016",http://www.amazon.com/Goodnight-Construction-Sherri-Duskey-Rinker/dp/0811877825?tag=NYTBSREV-20
3397,8,"IF YOU EVER WANT TO BRING AN ALLIGATOR TO SCHOOL, DONT!",by Elise Parsley,"Little, Brown","August 28, 2016",http://www.amazon.com/Ever-Want-Bring-Alligator-School/dp/0316376574?tag=NYTBSREV-20
3398,9,"ROSIE REVERE, ENGINEER",by Andrea Beaty. Illustrated by David Roberts,Abrams,"August 28, 2016",http://www.amazon.com/Rosie-Revere-Engineer-Andrea-Beaty/dp/1419708457?tag=NYTBSREV-20
3399,10,LAST STOP ON MARKET STREET,by Matt de la Peña. Illustrated by Christian Robinson,Putnam,"August 28, 2016",http://www.amazon.com/Last-Stop-Market-Street-Matt/dp/0399257748?tag=NYTBSREV-20
3400,1,RETURN,by Aaron Becker,Candlewick,"August 21, 2016",http://www.amazon.com/Return-Aaron-Becker/dp/0763677302?tag=NYTBSREV-20
3401,2,WHAT DO YOU DO WITH A PROBLEM?,by Kobi Yamada. Illustrated by Mae Besom,Compendium,"August 21, 2016",http://www.amazon.com/What-Do-You-Problem/dp/1943200009?tag=NYTBSREV-20
3402,3,ARE WE THERE YET?,by Dan Santat,"Little, Brown","August 21, 2016",http://www.amazon.com/Are-There-Yet-Dan-Santat/dp/0316199990?tag=NYTBSREV-20
3403,4,THE BOOK WITH NO PICTURES,by B.J. Novak,Dial,"August 21, 2016",http://www.amazon.com/The-Book-Pictures-B-J-Novak/dp/0803741715?tag=NYTBSREV-20
3404,5,THE WONDERFUL THINGS YOU WILL BE,by Emily Winfield Martin,Random House,"August 21, 2016",http://www.amazon.com/The-Wonderful-Things-You-Will/dp/0385376715?tag=NYTBSREV-20
3405,6,DRAGONS LOVE TACOS,by Adam Rubin. Illustrated by Daniel Salmieri,Dial,"August 21, 2016",http://www.amazon.com/Dragons-Love-Tacos-Adam-Rubin/dp/0803736800?tag=NYTBSREV-20
3406,7,THE THANK YOU BOOK,by Mo Willems,Hyperion,"August 21, 2016",http://www.amazon.com/The-Thank-Book-Elephant-Piggie/dp/1423178289?tag=NYTBSREV-20
3407,8,THE DAY THE CRAYONS QUIT,by Drew Daywalt. Illustrated by Oliver Jeffers,Philomel,"August 21, 2016",http://www.amazon.com/The-Crayons-Quit-Drew-Daywalt/dp/0399255370?tag=NYTBSREV-20
